Movie_Name,Release_Date,Box_Office,Run_Time,Languages
...And Justice for All,1979-01-01,33300000.00,119,
'38 – Vienna Before the Fall,1986-01-01,,97,
"$1,000 a Minute",1935-01-01,,70,
10,1979-01-01,107000000.00,122,
102 Dalmatians,2000-01-01,183600000.00,100,
12,2007-01-01,7500000.00,159,
12 Angry Men,1957-01-01,2000000.00,96,
12 Monkeys,1995-01-01,168800000.00,129,
12 Years a Slave,2013-01-01,187700000.00,134,
12:01 pm,1990-01-01,,25,
127 Hours,2010-01-01,60700000.00,94,
13 Hours: The Secret Soldiers of Benghazi,2016-01-01,69400000.00,144,
13th,2016-01-01,566.00,100,
14-18,1963-01-01,,90,
140 Days Under the World,1964-01-01,,,
1776,1972-01-01,2800000.00,177,
1848,1949-01-01,,20,
1917,2019-01-01,446100000.00,119,
1941,1979-01-01,94900000.00,118,
20 Days in Mariupol,2023-01-01,,94,
20 Feet from Stardom,2013-01-01,5800000.00,90,
"20,000 Leagues Under the Sea",1954-01-01,28200000.00,127,
2001: A Space Odyssey,1968-01-01,146000000.00,139,
20th Century Women,2016-01-01,7200000.00,118,
21 Grams,2003-01-01,60400000.00,124,
3:10 to Yuma,2007-01-01,71200000.00,122,
4 Devils,1928-01-01,,100,
4 Little Girls,1997-01-01,130146.00,102,
4.1 Miles,2016-01-01,,21,
42nd Street,1933-01-01,2300000.00,89,
45 Years,2015-01-01,14200000.00,95,
49th Parallel,1941-01-01,250000.00,123,
5 Broken Cameras,2011-01-01,108541.00,94,
5 Fingers,1952-01-01,1350000.00,108,
55 Days at Peking,1963-01-01,10000000.00,153,
7 Faces of Dr. Lao,1964-01-01,1250000.00,100,
7:35 in the Morning,2003-01-01,,8,
7th Heaven,1927-01-01,2500000.00,110,
8 Mile,2002-01-01,242900000.00,111,
8½,1963-01-01,3500000.00,138,
89mm from Europe,1993-01-01,,12,
9,2005-01-01,,11,
A Beautiful Day in the Neighborhood,2019-01-01,68400000.00,109,
A Beautiful Mind,2001-01-01,316800000.00,135,
A Better Life,2011-01-01,1700000.00,94,
A Boy and His Dog,1946-01-01,,21,
A Boy Named Charlie Brown,1969-01-01,12000000.00,85,
A Bug's Life,1998-01-01,363300000.00,95,
A Cage of Nightingales,1945-01-01,5085489.00,89,
A Cat in Paris,2010-01-01,3300000.00,65,
A Certain Smile,1958-01-01,1300000.00,104,
A Chairy Tale,1957-01-01,,10,
A Chance to Live,1949-01-01,,18,
A Chef in Love,1997-01-01,,100,
A Chorus Line,1985-01-01,14200000.00,118,
A Christmas Carol,1971-01-01,,25,
A City Called Copenhagen,1960-01-01,,,
A City Decides,1956-01-01,,27,
A Civil Action,1998-01-01,56000000.00,115,
A Clockwork Orange,1971-01-01,114000000.00,136,
A Close Shave,1995-01-01,,30,
A Complete Unknown,2024-01-01,132000000.00,141,
A Concerto Is a Conversation,2021-01-01,,13,
A Cry in the Dark,1988-01-01,6900000.00,121,
A Damsel in Distress,1937-01-01,1465000.00,98,
A Day at the Races,1937-01-01,2305000.00,109,
A Different Approach,1978-01-01,,21,
A Different Man,2024-01-01,1300000.00,112,
A Double Life,1947-01-01,1700000.00,104,
A Dry White Season,1989-01-01,3766879.00,107,
A Fantastic Woman,2017-01-01,3700000.00,104,
A Farewell to Arms,1932-01-01,1000000.00,88,
A Farewell to Arms,1957-01-01,20000000.00,152,
A Few Good Men,1992-01-01,243200000.00,138,
A Few Notes on Our Food Problem,1968-01-01,,,
A Fish Called Wanda,1988-01-01,188600000.00,108,
A Foreign Affair,1948-01-01,2500000.00,116,
A Free Soul,1931-01-01,1400000.00,91,
A Funny Thing Happened on the Way to the Forum,1966-01-01,3400000.00,99,
A Gathering of Eagles,1963-01-01,2500000.00,116,
