Production_Company_Name,Movie_Name,Movie_ReleaseDate
Fox Film Corporation,Sunrise: A Song of Two Humans,1927-01-01
Paramount Famous Lasky Corp.,The Last Command,1928-01-01
Metro-Goldwyn-Mayer,The Crowd,1928-01-01
Famous Players–Lasky Corporation,Chang: A Drama of the Wilderness,1927-01-01
Paramount Famous Lasky Corporation,Chang: A Drama of the Wilderness,1927-01-01
Warner Bros. Pictures,Glorious Betsy,1928-01-01
Samuel Goldwyn Productions,The Devil Dancer,1927-01-01
Warner Bros. Pictures,The Jazz Singer,1927-01-01
The Vitaphone Corporation,The Jazz Singer,1927-01-01
Samuel Goldwyn Productions,The Magic Flame,1927-01-01
Metro-Goldwyn-Mayer,The Bridge of San Luis Rey,1929-01-01
William Fox Studio,4 Devils,1928-01-01
First National Pictures,Drag,1929-01-01
Metro-Goldwyn-Mayer,Dynamite,1929-01-01
Samuel Goldwyn Productions,The Awakening,1928-01-01
First National Pictures,The Barker,1928-01-01
Metro-Goldwyn-Mayer,The Last of Mrs. Cheyney,1929-01-01
Paramount Pictures,The Letter,1929-01-01
First National Pictures,Weary River,1929-01-01
Universal Studios,All Quiet on the Western Front,1930-01-01
Warner Bros.,Disraeli,1929-01-01
Universal Pictures,King of Jazz,1930-01-01
Paramount Famous Lasky Corp.,The Love Parade,1929-01-01
Samuel Goldwyn Productions,Bulldog Drummond,1929-01-01
Samuel Goldwyn Productions,Condemned,1929-01-01
Samuel Goldwyn Productions,Raffles,1930-01-01
First National Pictures,Sally,1929-01-01
First National Pictures,Song of the Flame,1930-01-01
RKO Radio Pictures,The Case of Sergeant Grischa,1930-01-01
Metro-Goldwyn-Mayer,The Rogue Song,1930-01-01
Paramount Pictures,The Vagabond King,1930-01-01
RKO Radio Pictures,Cimarron,1931-01-01
Metro-Goldwyn-Mayer,A Free Soul,1931-01-01
First National Pictures,The Dawn Patrol,1930-01-01
Paramount Pictures,Morocco,1930-01-01
First National Pictures,Little Caesar,1931-01-01
Warner Bros.,Smart Money,1931-01-01
Columbia Pictures,The Criminal Code,1931-01-01
"Warner Bros. Pictures, Inc.",The Doorway to Hell,1930-01-01
Samuel Goldwyn Productions,Whoopee!,1930-01-01
Metro-Goldwyn-Mayer,Grand Hotel,1932-01-01
Fox Film Corporation,Bad Girl,1931-01-01
Paramount Pictures,Dr. Jekyll and Mr. Hyde,1931-01-01
Walt Disney Productions,Flowers and Trees,1932-01-01
Samuel Goldwyn Productions,Arrowsmith,1931-01-01
First National Pictures,Five Star Final,1931-01-01
Harman-Ising Productions,It's Got Me Again!,1932-01-01
Walt Disney Productions,Mickey's Orphans,1931-01-01
Paramount Pictures,One Hour with You,1932-01-01
RKO Pathé,What Price Hollywood?,1932-01-01
Paramount Pictures,A Farewell to Arms,1932-01-01
RKO Radio Pictures,Little Women,1933-01-01
London Film Productions,The Private Life of Henry VIII,1933-01-01
RKO Radio Pictures,Morning Glory,1933-01-01
Warner Bros.,One Way Passage,1932-01-01
Walt Disney Productions,Three Little Pigs,1933-01-01
Columbia Pictures,Lady for a Day,1933-01-01
The Vitaphone Corporation,I Am a Fugitive from a Chain Gang,1932-01-01
Warner Bros.,42nd Street,1933-01-01
Walt Disney Productions,Building a Building,1933-01-01
Warner Bros.,Gold Diggers of 1933,1933-01-01
Metro-Goldwyn-Mayer,Rasputin and the Empress,1932-01-01
Paramount Pictures,She Done Him Wrong,1933-01-01
Paramount Pictures,Sign of the Cross,1932-01-01
Walter Lantz Productions,The Merry Old Soul,1933-01-01
Metro-Goldwyn-Mayer,When Ladies Meet,1933-01-01
RKO Radio Pictures,The Gay Divorcee,1934-01-01
Metro-Goldwyn-Mayer,Manhattan Melodrama,1934-01-01
Metro-Goldwyn-Mayer,The Merry Widow,1934-01-01
Walt Disney Productions,The Tortoise and the Hare,1935-01-01
Twentieth Century Pictures,The Affairs of Cellini,1934-01-01
Metro-Goldwyn-Mayer,The Thin Man,1934-01-01
Universal Pictures,Imitation of Life,1934-01-01
Warner Bros.,Flirtation Walk,1934-01-01
RKO Radio Pictures,Flying Down to Rio,1933-01-01
Warner Bros. Pictures,Here Comes the Navy,1934-01-01
Walter Lantz Productions,Jolly Little Elves,1934-01-01
RKO Radio Pictures,Of Human Bondage,1934-01-01
Metro-Goldwyn-Mayer,Operator 13,1934-01-01
Paramount Pictures,She Loves Me Not,1934-01-01
Twentieth Century Pictures,The House of Rothschild,1934-01-01
