Movie_Title,Release_Year,Production_Company_Name,Company_Name_(Wikipedia),Company_HQ,Company_Founded_Year
Wings,1927,Paramount Famous Lasky Corporation,Paramount Pictures,"5555 Melrose Avenue, Hollywood, Los Angeles, California, U.S.",1912
Sunrise: A Song of Two Humans,1927,Fox Film Corporation,Fox Film,,1914
The Last Command,1928,Paramount Famous Lasky Corp.,Famous Players–Lasky,"Hollywood, California, United States",1916
Tempest,1928,Feature Productions,Feature Productions,,
Two Arabian Knights,1927,The Caddo Company,The Caddo Company,,
The Crowd,1928,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
Chang: A Drama of the Wilderness,1927,Famous Players–Lasky Corporation,Famous Players–Lasky,"Hollywood, California, United States",1916
Chang: A Drama of the Wilderness,1927,Paramount Famous Lasky Corporation,Paramount Pictures,"5555 Melrose Avenue, Hollywood, Los Angeles, California, U.S.",1912
Glorious Betsy,1928,Warner Bros. Pictures,Warner Bros. Pictures,"4000 Warner Boulevard, Burbank, California, U.S.",1910
Speedy,1928,Harold Lloyd Corporation,Harold Lloyd Corporation,,
The Devil Dancer,1927,Samuel Goldwyn Productions,Samuel Goldwyn Productions,United States,1923
The Jazz Singer,1927,Warner Bros. Pictures,Warner Bros. Pictures,"4000 Warner Boulevard, Burbank, California, U.S.",1910
The Jazz Singer,1927,The Vitaphone Corporation,Vitaphone,"Los Angeles, California, United States",1925
The Magic Flame,1927,Samuel Goldwyn Productions,Samuel Goldwyn Productions,United States,1923
The Racket,1928,The Caddo Company,Howard Hughes,,
The Divine Lady,1928,First National Pictures,First National Pictures,United States,1917
The Bridge of San Luis Rey,1929,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
White Shadows in the South Seas,1928,Cosmopolitan Productions,,,
Our Dancing Daughters,1928,Cosmopolitan Productions,,,
4 Devils,1928,William Fox Studio,Fox Film,,1914
Drag,1929,First National Pictures,First National Pictures,United States,1917
Dynamite,1929,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
Skyscraper,1928,DeMille Pictures Corporation,DeMille Pictures Corporation,,
The Awakening,1928,Samuel Goldwyn Productions,Samuel Goldwyn Productions,United States,1923
The Barker,1928,First National Pictures,First National Pictures,United States,1917
The Cop,1928,DeMille Pictures Corporation,Cecil B. DeMille,,
The Last of Mrs. Cheyney,1929,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
The Letter,1929,Paramount Pictures,Paramount Pictures,,
Weary River,1929,First National Pictures,First National Pictures,United States,1917
All Quiet on the Western Front,1930,Universal Studios,Universal Pictures,"10 Universal City Plaza, Universal City, California, U.S.",1912
The Big House,1930,A Cosmopolitan Production,,,
Disraeli,1929,Warner Bros.,Warner Bros.,"4000 Warner Blvd., Burbank, California, US",1923
King of Jazz,1930,Universal Pictures,Universal Pictures,"10 Universal City Plaza, Universal City, California, U.S.",1912
The Love Parade,1929,Paramount Famous Lasky Corp.,Paramount Pictures,"5555 Melrose Avenue, Hollywood, Los Angeles, California, U.S.",1912
Bulldog Drummond,1929,Samuel Goldwyn Productions,Samuel Goldwyn Productions,United States,1923
Condemned,1929,Samuel Goldwyn Productions,Samuel Goldwyn Productions,United States,1923
Hallelujah,1929,A King Vidor Production,King Vidor,,
Hell's Angels,1930,(de),,,
Raffles,1930,Samuel Goldwyn Productions,Samuel Goldwyn Productions,United States,1923
Sally,1929,First National Pictures,First National Pictures,United States,1917
Song of the Flame,1930,First National Pictures,First National Pictures,United States,1917
The Case of Sergeant Grischa,1930,RKO Radio Pictures,RKO Pictures,"1270 Avenue of the Americas, New York City, New York",1929
The Rogue Song,1930,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
