Nomination_Award_Name,Nomination_Iteration_Number,Film,Winner
"Adventures of Don Juan – Leah Rhodes, Travilla and Marjorie Best",22,Adventures of Don Juan,Adventures of Don Juan
"Adventures of Don Juan – Leah Rhodes, Travilla and Marjorie Best",22,Mother Is a Freshman,Mother Is a Freshman
Best Actor,1,The Circus,Charles Chaplin
Best Actor,1,The Last Command,Emil Jannings
Best Actor,1,The Noose,Richard Barthelmess
Best Actor,2,Alibi,Chester Morris
Best Actor,2,In Old Arizona,Warner Baxter
Best Actor,2,The Patriot,Lewis Stone
Best Actor,2,The Valiant,Paul Muni
Best Actor,2,Thunderbolt,George Bancroft
Best Actor,3,Bulldog Drummond,Ronald Colman
Best Actor,3,Disraeli,George Arliss
Best Actor,3,The Big House,Wallace Beery
Best Actor,3,The Big Pond,Maurice Chevalier
Best Actor,3,The Green Goddess,George Arliss
Best Actor,3,The Rogue Song,Lawrence Tibbett
Best Actor,4,A Free Soul,Lionel Barrymore
Best Actor,4,Cimarron,Richard Dix
Best Actor,4,Skippy,Jackie Cooper
Best Actor,4,The Front Page,Adolphe Menjou
Best Actor,4,The Royal Family of Broadway,Fredric March
Best Actor,5,Dr. Jekyll and Mr. Hyde,Fredric March
Best Actor,5,The Champ,Wallace Beery
Best Actor,5,The Guardsman,Alfred Lunt
Best Actor,6,Berkeley Square,Leslie Howard
Best Actor,6,I Am a Fugitive from a Chain Gang,Paul Muni
Best Actor,6,The Private Life of Henry VIII,Charles Laughton
Best Actor,7,It Happened One Night,Clark Gable
Best Actor,7,The Affairs of Cellini,Frank Morgan
Best Actor,7,The Thin Man,William Powell
Best Actor,8,Black Fury,Paul Muni
Best Actor,8,Mutiny on the Bounty,Franchot Tone
Best Actor,8,The Informer,Victor McLaglen
Best Actor,9,Dodsworth,Walter Huston
Best Actor,9,Mr. Deeds Goes to Town,Gary Cooper
Best Actor,9,My Man Godfrey,William Powell
Best Actor,9,San Francisco,Spencer Tracy
Best Actor,9,The Story of Louis Pasteur,Paul Muni
Best Actor,10,A Star Is Born,Fredric March
Best Actor,10,Captains Courageous,Spencer Tracy
Best Actor,10,Conquest,Charles Boyer
Best Actor,10,Night Must Fall,Robert Montgomery
Best Actor,10,The Life of Emile Zola,Paul Muni
Best Actor,11,Algiers,Charles Boyer
Best Actor,11,Angels with Dirty Faces,James Cagney
Best Actor,11,Boys Town,Spencer Tracy
Best Actor,11,Pygmalion,Leslie Howard
Best Actor,11,The Citadel,Robert Donat
Best Actor,12,Babes in Arms,Mickey Rooney
Best Actor,12,Gone With the Wind,Clark Gable
Best Actor,12,"Goodbye, Mr. Chips",Robert Donat
Best Actor,12,Mr. Smith Goes to Washington,James Stewart
Best Actor,12,Wuthering Heights,Laurence Olivier
Best Actor,13,Abe Lincoln in Illinois,Raymond Massey
Best Actor,13,Rebecca,Laurence Olivier
Best Actor,13,The Grapes of Wrath,Henry Fonda
Best Actor,13,The Great Dictator,Charles Chaplin
Best Actor,13,The Philadelphia Story,James Stewart
Best Actor,14,All That Money Can Buy,Walter Huston
Best Actor,14,Citizen Kane,Orson Welles
Best Actor,14,Here Comes Mr. Jordan,Robert Montgomery
Best Actor,14,Penny Serenade,Cary Grant
Best Actor,14,Sergeant York,Gary Cooper
Best Actor,15,Mrs. Miniver,Walter Pidgeon
Best Actor,15,Random Harvest,Ronald Colman
Best Actor,15,The Pied Piper,Monty Woolley
Best Actor,15,The Pride of the Yankees,Gary Cooper
Best Actor,15,Yankee Doodle Dandy,James Cagney
Best Actor,16,Casablanca,Humphrey Bogart
Best Actor,16,For Whom the Bell Tolls,Gary Cooper
Best Actor,16,Madame Curie,Walter Pidgeon
Best Actor,16,The Human Comedy,Mickey Rooney
Best Actor,16,Watch on the Rhine,Paul Lukas
Best Actor,17,Gaslight,Charles Boyer
Best Actor,17,Going My Way,Barry Fitzgerald
Best Actor,17,None but the Lonely Heart,Cary Grant
Best Actor,17,Wilson,Alexander Knox
Best Actor in a Leading Role,50,A Special Day,Marcello Mastroianni
Best Actor in a Leading Role,50,Annie Hall,Woody Allen
Best Actor in a Leading Role,50,Equus,Richard Burton
Best Actor in a Leading Role,50,Saturday Night Fever,John Travolta
Best Actor in a Leading Role,50,The Goodbye Girl,Richard Dreyfuss
Best Actor in a Leading Role,51,Coming Home,Jon Voight
Best Actor in a Leading Role,51,Heaven Can Wait,Warren Beatty
Best Actor in a Leading Role,51,The Boys from Brazil,Laurence Olivier
Best Actor in a Leading Role,51,The Buddy Holly Story,Gary Busey
Best Actor in a Leading Role,51,The Deer Hunter,Robert De Niro
Best Actor in a Leading Role,52,...And Justice for All.,Al Pacino
Best Actor in a Leading Role,52,All That Jazz,Roy Scheider
Best Actor in a Leading Role,52,Being There,Peter Sellers
Best Actor in a Leading Role,52,Kramer vs. Kramer,Dustin Hoffman
Best Actor in a Leading Role,52,The China Syndrome,Jack Lemmon
Best Actor in a Leading Role,53,Raging Bull,Robert De Niro
Best Actor in a Leading Role,53,The Elephant Man,John Hurt
Best Actor in a Leading Role,53,The Great Santini,Robert Duvall
Best Actor in a Leading Role,53,The Stunt Man,Peter O'Toole
Best Actor in a Leading Role,53,Tribute,Jack Lemmon
Best Actor in a Leading Role,54,Absence of Malice,Paul Newman
Best Actor in a Leading Role,54,Arthur,Dudley Moore
Best Actor in a Leading Role,54,Atlantic City,Burt Lancaster
Best Actor in a Leading Role,54,On Golden Pond,Henry Fonda
Best Actor in a Leading Role,54,Reds,Warren Beatty
