Iteration,Award Category,Winner,Film
1,Outstanding Picture,Wings,Wings
1,Outstanding Picture,The Racket,The Racket
1,Outstanding Picture,7th Heaven,7th Heaven
1,Best Unique and Artistic Picture,Sunrise,Sunrise
1,Best Unique and Artistic Picture,Chang,Chang
1,Best Unique and Artistic Picture,The Crowd,The Crowd
1,Best Directing (Comedy Picture),Lewis Milestone,Two Arabian Knights
1,Best Directing (Comedy Picture),Charles Chaplin,The Circus
1,Best Directing (Comedy Picture),Ted Wilde,Speedy
1,Best Directing (Dramatic Picture),Frank Borzage,7th Heaven
1,Best Directing (Dramatic Picture),Herbert Brenon,Sorrell and Son
1,Best Directing (Dramatic Picture),King Vidor,The Crowd
1,Best Actor,Emil Jannings,The Last Command
1,Best Actor,Richard Barthelmess,The Noose
1,Best Actor,Charles Chaplin,The Circus
1,Best Actress,Janet Gaynor,7th Heaven
1,Best Actress,Louise Dresser,A Ship Comes In
1,Best Actress,Gloria Swanson,Sadie Thompson
1,Best Writing (Original Story),Underworld,Underworld
1,Best Writing (Original Story),The Circus,The Circus
1,Best Writing (Original Story),The Last Command,The Last Command
1,Best Writing (Adaptation),7th Heaven,7th Heaven
1,Best Writing (Adaptation),Glorious Betsy,Glorious Betsy
1,Best Writing (Adaptation),The Jazz Singer,The Jazz Singer
1,Best Art Direction,The Dove,The Dove
1,Best Art Direction,Tempest,Tempest
1,Best Art Direction,7th Heaven,7th Heaven
1,Best Art Direction,Sunrise,Sunrise
1,Best Cinematography,Sunrise,Sunrise
1,Best Cinematography,The Devil Dancer,The Devil Dancer
1,Best Cinematography,The Magic Flame,The Magic Flame
1,Best Cinematography,Sadie Thompson,Sadie Thompson
1,Best Engineering Effects,Wings,Wings
1,Best Engineering Effects,No specific film,Ralph Hammeras
1,Best Engineering Effects,No specific film,Nugent Slaughter
1,Best Writing (Title Writing),Joseph Farnham,– The Private Life of Helen of Troy
1,Best Writing (Title Writing),Gerald Duffy,– The Private Life of Helen of Troy
1,Best Writing (Title Writing),George Marion Jr.,no specific film
2,Outstanding Picture,The Broadway Melody,The Broadway Melody
2,Outstanding Picture,Alibi,Alibi
2,Outstanding Picture,The Hollywood Revue of 1929,The Hollywood Revue of 1929
2,Outstanding Picture,In Old Arizona,In Old Arizona
2,Outstanding Picture,The Patriot,The Patriot
2,Best Director,Frank Lloyd,The Divine Lady
2,Best Director,Harry Beaumont,The Broadway Melody
2,Best Director,Frank Lloyd,Drag
2,Best Director,Irving Cummings,In Old Arizona
2,Best Director,Lionel Barrymore,Madame X
2,Best Director,Ernst Lubitsch,The Patriot
2,Best Director,Frank Lloyd,Weary River
2,Best Actor,Warner Baxter,In Old Arizona
2,Best Actor,George Bancroft,Thunderbolt
2,Best Actor,Chester Morris,Alibi
2,Best Actor,Paul Muni,The Valiant
2,Best Actor,Lewis Stone,The Patriot
2,Best Actress,Mary Pickford,Coquette
2,Best Actress,Ruth Chatterton,Madame X
2,Best Actress,Betty Compson,The Barker
2,Best Actress,Jeanne Eagels (posthumous nomination),The Letter
2,Best Actress,Corinne Griffith,The Divine Lady
2,Best Actress,Bessie Love,The Broadway Melody
2,Best Writing,The Patriot,The Patriot
2,Best Writing,The Cop,The Cop
2,Best Writing,In Old Arizona,In Old Arizona
2,Best Writing,The Last of Mrs. Cheyney,The Last of Mrs. Cheyney
2,Best Writing,The Leatherneck,The Leatherneck
2,Best Writing,Our Dancing Daughters,Our Dancing Daughters
2,Best Writing,Sal of Singapore,Sal of Singapore
2,Best Writing,Skyscraper,Skyscraper
2,Best Writing,The Valiant,The Valiant
2,Best Writing,A Woman of Affairs,A Woman of Affairs
2,Best Writing,Wonder of Women,Wonder of Women
2,Best Art Direction,The Bridge of San Luis Rey,The Bridge of San Luis Rey
2,Best Art Direction,Alibi,Alibi
2,Best Art Direction,The Awakening,The Awakening
2,Best Art Direction,Dynamite,Dynamite
2,Best Art Direction,The Patriot,The Patriot
2,Best Art Direction,Street Angel,Street Angel
2,Best Cinematography,White Shadows in the South Seas,White Shadows in the South Seas
2,Best Cinematography,Four Devils,Four Devils
2,Best Cinematography,The Divine Lady,The Divine Lady
2,Best Cinematography,In Old Arizona,In Old Arizona
2,Best Cinematography,Our Dancing Daughters,Our Dancing Daughters
2,Best Cinematography,Street Angel,Street Angel
3,Outstanding Production,All Quiet on the Western Front,All Quiet on the Western Front
3,Outstanding Production,The Big House,The Big House
3,Outstanding Production,Disraeli,Disraeli
3,Outstanding Production,The Divorcee,The Divorcee
3,Outstanding Production,The Love Parade,The Love Parade
3,Best Directing,Lewis Milestone,All Quiet on the Western Front
3,Best Directing,Clarence Brown,Anna Christie
3,Best Directing,Robert Leonard,The Divorcee
3,Best Directing,King Vidor,Hallelujah
3,Best Directing,Ernst Lubitsch,The Love Parade
3,Best Directing,Clarence Brown,Romance
3,Best Actor,George Arliss,Disraeli
3,Best Actor,George Arliss,The Green Goddess
3,Best Actor,Wallace Beery,The Big House
3,Best Actor,Maurice Chevalier,The Big Pond
3,Best Actor,Ronald Colman,Bulldog Drummond
3,Best Actor,Lawrence Tibbett,The Rogue Song
3,Best Actress,Norma Shearer,The Divorcee
3,Best Actress,Nancy Carroll,The Devil's Holiday
3,Best Actress,Ruth Chatterton,Sarah and Son
3,Best Actress,Greta Garbo,Anna Christie
3,Best Actress,Norma Shearer,Their Own Desire
3,Best Actress,Gloria Swanson,The Trespasser
3,Best Writing,The Big House,The Big House
3,Best Writing,All Quiet on the Western Front,All Quiet on the Western Front
3,Best Writing,Disraeli,Disraeli
3,Best Writing,The Divorcee,The Divorcee
3,Best Writing,Street of Chance,Street of Chance
3,Best Sound Recording,The Big House,The Big House
3,Best Sound Recording,The Case of Sergeant Grischa,The Case of Sergeant Grischa
3,Best Sound Recording,The Love Parade,The Love Parade
3,Best Sound Recording,Raffles,Raffles
3,Best Sound Recording,Song of the Flame,Song of the Flame
3,Best Art Direction,King of Jazz,King of Jazz
3,Best Art Direction,Bulldog Drummond,Bulldog Drummond
3,Best Art Direction,The Love Parade,The Love Parade
3,Best Art Direction,Sally,Sally
3,Best Art Direction,The Vagabond King,The Vagabond King
3,Best Cinematography,With Byrd at the South Pole,With Byrd at the South Pole
3,Best Cinematography,All Quiet on the Western Front,All Quiet on the Western Front
3,Best Cinematography,Anna Christie,Anna Christie
3,Best Cinematography,Hell's Angels,Hell's Angels
3,Best Cinematography,The Love Parade,The Love Parade
4,Outstanding Production,Cimarron,Cimarron
4,Outstanding Production,East Lynne,East Lynne
4,Outstanding Production,The Front Page,The Front Page
4,Outstanding Production,Skippy,Skippy
4,Outstanding Production,Trader Horn,Trader Horn
4,Best Director,Norman Taurog,Skippy
4,Best Director,Wesley Ruggles,Cimarron
4,Best Director,Clarence Brown,A Free Soul
4,Best Director,Lewis Milestone,The Front Page
4,Best Director,Josef von Sternberg,Morocco
4,Best Actor,Lionel Barrymore,A Free Soul
4,Best Actor,Jackie Cooper,Skippy
4,Best Actor,Richard Dix,Cimarron
4,Best Actor,Fredric March,The Royal Family of Broadway
4,Best Actor,Adolphe Menjou,The Front Page
4,Best Actress,Marie Dressler,Min and Bill
4,Best Actress,Marlene Dietrich,Morocco
4,Best Actress,Irene Dunne,Cimarron
4,Best Actress,Ann Harding,Holiday
4,Best Actress,Norma Shearer,A Free Soul
4,Best Original Story,The Dawn Patrol,The Dawn Patrol
4,Best Original Story,The Doorway to Hell,The Doorway to Hell
4,Best Original Story,Laughter,Laughter
4,Best Original Story,The Public Enemy,The Public Enemy
4,Best Original Story,Smart Money,Smart Money
4,Best Adaptation,Cimarron,Cimarron
4,Best Adaptation,The Criminal Code,The Criminal Code
4,Best Adaptation,Holiday,Holiday
4,Best Adaptation,Little Caesar,Little Caesar
4,Best Adaptation,Skippy,Skippy
4,Best Sound Recording,Paramount Publix Studio Sound Department MGM Studio Sound Department RKO Radio Studio Sound Department Samuel Goldwyn-United Artists Studio Sound Department,N/A
4,Best Sound Recording,MGM Studio Sound Department,N/A
4,Best Sound Recording,RKO Radio Studio Sound Department,N/A
4,Best Sound Recording,Samuel Goldwyn-United Artists Studio Sound Department,N/A
4,Best Art Direction,Cimarron,Cimarron
4,Best Art Direction,Just Imagine,Just Imagine
4,Best Art Direction,Morocco,Morocco
4,Best Art Direction,Svengali,Svengali
4,Best Art Direction,Whoopee!,Whoopee!
4,Best Cinematography,Tabu,Tabu
4,Best Cinematography,Cimarron,Cimarron
4,Best Cinematography,Morocco,Morocco
4,Best Cinematography,The Right to Love,The Right to Love
4,Best Cinematography,Svengali,Svengali
5,Outstanding Production,Grand Hotel,Grand Hotel
5,Outstanding Production,Arrowsmith,Arrowsmith
5,Outstanding Production,Bad Girl,Bad Girl
5,Outstanding Production,The Champ,The Champ
5,Outstanding Production,Five Star Final,Five Star Final
5,Outstanding Production,One Hour with You,One Hour with You
5,Outstanding Production,Shanghai Express,Shanghai Express
5,Outstanding Production,The Smiling Lieutenant,The Smiling Lieutenant
5,Best Director,Frank Borzage,Bad Girl
5,Best Director,King Vidor,The Champ
5,Best Director,Josef von Sternberg,Shanghai Express
5,Best Actor,Fredric March,Dr. Jekyll and Mr. Hyde
5,Best Actor,Wallace Beery,The Champ
5,Best Actor,Alfred Lunt,The Guardsman
5,Best Actress,Helen Hayes,The Sin of Madelon Claudet
5,Best Actress,Marie Dressler,Emma
5,Best Actress,Lynn Fontanne,The Guardsman
5,Best Original Story,The Champ,The Champ
5,Best Original Story,Lady and Gent,Lady and Gent
5,Best Original Story,The Star Witness,The Star Witness
5,Best Original Story,What Price Hollywood?,What Price Hollywood?
5,Best Adaptation,Bad Girl,Bad Girl
5,Best Adaptation,Arrowsmith,Arrowsmith
5,Best Adaptation,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde
5,Best Art Direction,Transatlantic,Transatlantic
5,Best Art Direction,À Nous la Liberté,À Nous la Liberté
5,Best Art Direction,Arrowsmith,Arrowsmith
5,Best Cinematography,Shanghai Express,Shanghai Express
5,Best Cinematography,Arrowsmith,Arrowsmith
5,Best Cinematography,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde
5,Best Sound Recording,Paramount Publix Studio Sound Department MGM Studio Sound Department RKO Radio Studio Sound Department Warner Bros. First National Studio Sound Department,N/A
5,Best Sound Recording,MGM Studio Sound Department,N/A
5,Best Sound Recording,RKO Radio Studio Sound Department,N/A
5,Best Sound Recording,Warner Bros. First National Studio Sound Department,N/A
5,"Best Short Subject, Cartoon",Flowers and Trees,Flowers and Trees
5,"Best Short Subject, Cartoon",It's Got Me Again!,It's Got Me Again!
5,"Best Short Subject, Cartoon",Mickey's Orphans,Mickey's Orphans
5,"Best Live Action Short Subject, Comedy",The Music Box,The Music Box
5,"Best Live Action Short Subject, Comedy",The Loud Mouth,The Loud Mouth
5,"Best Live Action Short Subject, Comedy",Scratch-As-Catch-Can,Scratch-As-Catch-Can
5,"Best Live Action Short Subject, Novelty",Wrestling Swordfish,Wrestling Swordfish
5,"Best Live Action Short Subject, Novelty",Screen Souvenirs,Screen Souvenirs
5,"Best Live Action Short Subject, Novelty",Swing High,Swing High
6,Outstanding Production,Cavalcade,Cavalcade
6,Outstanding Production,42nd Street,42nd Street
6,Outstanding Production,A Farewell to Arms,A Farewell to Arms
6,Outstanding Production,I Am a Fugitive from a Chain Gang,I Am a Fugitive from a Chain Gang
6,Outstanding Production,Lady for a Day,Lady for a Day
6,Outstanding Production,Little Women,Little Women
6,Outstanding Production,The Private Life of Henry VIII,The Private Life of Henry VIII
6,Outstanding Production,She Done Him Wrong,She Done Him Wrong
6,Outstanding Production,Smilin' Through,Smilin' Through
6,Outstanding Production,State Fair,State Fair
6,Best Directing,Frank Lloyd,Cavalcade
6,Best Directing,Frank Capra,Lady for a Day
6,Best Directing,George Cukor,Little Women
