FirstName,LastName,Date_of_birth,Death_Date,Country_of_birth
"""Little",Rhodes,1900-01-01,,"Lynn, Massachusetts"
"""Rags""",Ragland,1900-01-01,,"Louisville, Kentucky"
A.,Ho,1900-01-01,,Hong Kong
A.,Prasad,1900-01-01,,Madras
A.,Rahman,1900-01-01,,Madras
A.,Sutherland,1900-01-01,,Unknown
A.I.,Bezzerides,1900-01-01,,Samsun
A.P.,Younger,1900-01-01,,"Sacramento, California"
Aamir,Khan,1900-01-01,,Bombay
Aaron,Blaise,1900-01-01,,Burlington
Aaron,Copland,1900-01-01,,Unknown
Aaron,Dessner,1900-01-01,,"Cincinnati, Ohio"
Aaron,Eckhart,1900-01-01,,"Cupertino, California"
Aaron,Guzikowski,1900-01-01,,Unknown
Aaron,Hoffman,1900-01-01,,Unknown
Aaron,Johnson,1900-01-01,,High Wycombe
Aaron,Kopp,1900-01-01,,Unknown
Aaron,Rosenberg,1900-01-01,,"Brooklyn, New York"
Aaron,Russo,1900-01-01,,Brooklyn
Aaron,Ryder,1900-01-01,,Unknown
Aaron,Schimberg,1900-01-01,,Unknown
Aaron,Schneider,1900-01-01,,"Mossville, Illinois"
Aaron,Sorkin,1900-01-01,,"Manhattan, New York City"
Aaron,Stell,1900-01-01,,Pennsylvania
Aaron,Taylor-Johnson,1900-01-01,,High Wycombe
Aaron,Weisblatt,1900-01-01,,Unknown
Aaron,Zigman,1900-01-01,,San Diego
Abbey,Lee,1900-01-01,,Melbourne
Abbey,Lincoln,1900-01-01,,"Chicago, Illinois"
Abbey,Neidik,1900-01-01,,Unknown
Abbi,Jacobson,1900-01-01,,Wayne
Abbie,Cornish,1900-01-01,,"Lochinvar, New South Wales"
Abby,Ginzberg,1900-01-01,,Unknown
Abderrahmane,Sissako,1900-01-01,,Kiffa
Abdulah,Sidran,1900-01-01,,Sarajevo
Abe,Levitow,1900-01-01,,Los Angeles
Abel,Korzeniowski,1900-01-01,,Kraków
Abel,Meeropol,1900-01-01,,New York City
Abem,Finkel,1900-01-01,,Unknown
Abi,Morgan,1900-01-01,,Cardiff
Abigail,Breslin,1900-01-01,,Unknown
Abraham,Polonsky,1900-01-01,,Unknown
Ace,Bhatti,1900-01-01,,Nottingham
Achmed,Abdullah,1900-01-01,,Unknown
Adam,Arkapaw,1900-01-01,,Bowral
Adam,Arkin,1900-01-01,,New York City
Adam,Bakri,1900-01-01,,Unknown
Adam,Baldwin,1900-01-01,,"Winnetka, Illinois"
Adam,Beach,1900-01-01,,Ashern
Adam,Benzine,1900-01-01,,Unknown
Adam,Blackwood,1900-01-01,,Chichester
Adam,Bohling,1900-01-01,,Unknown
Adam,Brody,1900-01-01,,San Diego
Adam,Cooper,1900-01-01,,Tooting
Adam,Davidson,1900-01-01,,Los Angeles
Adam,Driver,1900-01-01,,"Fontana, California"
Adam,Ellick,1900-01-01,,Unknown
Adam,Elliot,1900-01-01,,"Berwick, Victoria"
Adam,Goldberg,1900-01-01,,Unknown
Adam,Graves,1900-01-01,,Unknown
Adam,Greenberg,1900-01-01,,Kraków
Adam,Holender,1900-01-01,,Unknown
Adam,Kersten,1900-01-01,,Unknown
Adam,Levine,1900-01-01,,Los Angeles
Adam,McKay,1900-01-01,,"Denver, Colorado"
Adam,Pearson,1900-01-01,,Unknown
Adam,Roarke,1900-01-01,,Brooklyn
Adam,Sandler,1900-01-01,,New York City
Adam,Schroeder,1900-01-01,,Unknown
Adam,Siegel,1900-01-01,,Unknown
Adam,Somner,1900-01-01,,Unknown
Adam,Tandy,1900-01-01,,Unknown
Adarsh,Gourav,1900-01-01,,Jamshedpur
Addison,Richards,1900-01-01,,"Zanesville, Ohio"
Addy,Weijers,1900-01-01,,Unknown
Adeel,Akhtar,1900-01-01,,London
Adel,Bencherif,1900-01-01,,Saint-Maurice
Adel,Karam,1900-01-01,,Beirut
Adelaide,Cannon,1900-01-01,,Unknown
Adelaide,Heilbron,1900-01-01,,"Seattle, Washington"
Adèle,Exarchopoulos,1900-01-01,,Paris
Adele,Jergens,1900-01-01,,"Brooklyn, New York"
Adele,Mara,1900-01-01,,"Highland Park, Michigan"
Adele,Romanski,1900-01-01,,"Sarasota, Florida"
Adem,Ilhan,1900-01-01,,Unknown
Adewale,Akinnuoye-Agbaje,1900-01-01,,Unknown
Adolfo,Aristarain,1900-01-01,,Buenos Aires
Adolfo,Celi,1900-01-01,,Messina
Adolfo,Doring,1900-01-01,,Mexico City
Adolfo,Franci,1900-01-01,,Unknown
Adolfo,Marsillach,1900-01-01,,Barcelona
Adolph,Caesar,1900-01-01,,Harlem
Adolph,Deutsch,1900-01-01,,London
Adolph,Green,1900-01-01,,The Bronx
Adolph,Zukor,1900-01-01,,Ricse
Adolphe,Menjou,1900-01-01,,"Pittsburgh, Pennsylvania"
Adrian,Belew,1900-01-01,,"Covington, Kentucky"
Adrian,Biddle,1900-01-01,,Woolwich
Adrian,Dunbar,1900-01-01,,Enniskillen
Adrian,Grenier,1900-01-01,,"Santa Fe, New Mexico"
Adrian,Lester,1900-01-01,,Birmingham
Adrian,Lyne,1900-01-01,,Peterborough
Adrian,Scott,1900-01-01,,[1]
Adrián,Suar,1900-01-01,,Unknown
Adriana,Barraza,1900-01-01,,Toluca
Adriana,Novelli,1900-01-01,,Unknown
Adriana,Paz,1900-01-01,,Mexico City
Adriane,Lenox,1900-01-01,,"Memphis, Tennessee"
Adriano,Goldman,1900-01-01,,Unknown
Adrien,Brody,1900-01-01,,Unknown
Adrienne,Corri,1900-01-01,,[1]
Adrienne,Fazan,1900-01-01,,Unknown
Aeneas,MacKenzie,1900-01-01,,Unknown
Affonso,Beato,1900-01-01,,Rio de Janeiro
Affonso,Gonçalves,1900-01-01,,São Paulo
Afro,System,1900-01-01,,Unknown
Agata,Kulesza,1900-01-01,,[1]
Agata,Trzebuchowska,1900-01-01,,Poland
Age,Scarpelli,1900-01-01,,Unknown
Agenore,Incrocci,1900-01-01,,Unknown
Agnès,Delahaie,1900-01-01,,Unknown
Agnès,Guillemot,1900-01-01,,Unknown
Agnès,Jaoui,1900-01-01,,Antony
Agnes,Johnston,1900-01-01,,"Swissvale, Pennsylvania"
Agnes,Kittelsen,1900-01-01,,Kristiansand
Agnes,Moorehead,1900-01-01,,"Clinton, Massachusetts"
Agnès,Varda,1900-01-01,,Ixelles
Agneta,Eckemyr,1900-01-01,,Unknown
Agnieszka,Glińska,1900-01-01,,Unknown
Agnieszka,Grochowska,1900-01-01,,Warsaw
Agnieszka,Holland,1900-01-01,,Warsaw
Agostina,Belli,1900-01-01,,Milan
Agustín,Almodóvar,1900-01-01,,Calzada de Calatrava
Agustín,Corte,1900-01-01,,Unknown
Agustín,González,1900-01-01,,Linares
Agustín,Pardella,1900-01-01,,Unknown
Ah-Leh,Gua,1900-01-01,,Changsha
Ahmed,Rachedi,1900-01-01,,Tebessa
Aída,Bortnik,1900-01-01,,Unknown
Aida,El-Kashef,1900-01-01,,Cairo
Aida,Young,1900-01-01,,"Stepney, London"
Aidan,Gillen,1900-01-01,,Dublin
Aidan,McArdle,1900-01-01,,Dublin
Aidan,Quinn,1900-01-01,,"Chicago, Illinois"
Aidan,Turner,1900-01-01,,Clondalkin
Aileen,Quinn,1900-01-01,,"Yardley, Pennsylvania"
Aimé,Clariond,1900-01-01,,Périgueux
Aimee,Wood,1900-01-01,,Stockport
Aino,Taube,1900-01-01,,Espergærde
Ainsley,Gardiner,1900-01-01,,Palmerston North
Ainsworth,Morgan,1900-01-01,,Unknown
Aitana,Sánchez-Gijón,1900-01-01,,Rome
Ajay,Devgn,1900-01-01,,[1]
Aki,Asakura,1900-01-01,,Kanagawa Prefecture
Aki,Kaurismäki,1900-01-01,,Orimattila
Akihiro,Miwa,1900-01-01,,Nagasaki
Akim,Tamiroff,1900-01-01,,Tiflis
Akira,Ifukube,1900-01-01,,[1]
Akira,Kurosawa,1900-01-01,,"Shinagawa, Tokyo"
